Date,BIR,CPI,CSI,HPI,IP,Change rate compared to the previous month
2013-01,0.8806237797723762,-1.2179743613205136,-0.9537602110973639,-1.1517614213153626,-1.4664488783342082,-1.418012919861553
2013-02,0.8806237797723762,-1.1774659884274992,-0.8826724935000448,-1.1619515914681808,-1.9371823881383214,-0.8409061900799989
2013-03,0.8806237797723762,-1.1887037951010448,-0.4561461879161307,-1.1738531259425364,-1.1421657938024863,1.3242303924065975
2013-04,0.8806237797723762,-1.2055605051113643,-0.17179531752685462,-1.1818526614977618,-1.2467732404256227,-0.22924265237689548
2013-05,0.608049752699974,-1.2055605051113643,0.25473098805705946,-1.1890856351039543,-1.1630872831271124,0.07318142013685726
2013-06,0.608049752699974,-1.220326460391721,0.18364327045974047,-1.199506791748054,-1.1526265384647993,-0.04529833373574701
2013-07,0.608049752699974,-1.1943226984378168,-0.31397075272149266,-1.208909045268516,-1.2886162190748762,-0.2796380937882384
2013-08,0.608049752699974,-1.1513315543029736,-0.3850584703188117,-1.2192030703645635,-1.5292133463080892,-0.4525895634968417
2013-09,0.608049752699974,-1.1276798914202786,0.11255555286242144,-1.2236095380860703,-1.4559881336718952,0.05993252796818349
2013-1,,-1.1649214600477267,,,,
2013-10,0.608049752699974,,0.3969064232516975,-1.2180761837255876,-1.058479836503976,0.5948968966610989
2013-11,0.608049752699974,-1.167273559118934,0.3969064232516975,-1.2155049374888938,-1.089862070490918,-0.11177396594444369
2013-12,0.608049752699974,-1.1525076038385773,0.25473098805705946,-1.213399721624595,-0.34714919946664974,1.1185060766524066
2014-01,0.608049752699974,-1.087040846356641,0.6812572936409735,-1.2109633658042276,-1.3618414317110719,-1.5589091970542588
2014-02,0.608049752699974,-1.0543728037009845,0.9656081640302496,-1.2058946181705843,-1.780271218203617,-0.7465882577953673
2014-03,0.608049752699974,-1.03176651818327,0.9656081640302496,-1.1936000863408003,-0.8701864325823311,1.496872154201218
2014-04,0.608049752699974,-1.0237955157752907,0.6101695760436545,-1.1856016897020185,-1.089862070490918,-0.40340792177771234
2014-05,0.608049752699974,-1.0035413293287836,0.3969064232516975,-1.1852662076270082,-1.1840087724517399,-0.21170244392817206
2014-06,0.608049752699974,-1.0193526619741207,0.3969064232516975,-1.186547275079579,-0.9747938792054673,0.27379799986778586
2014-07,0.608049752699974,-1.0013199024281993,0.3969064232516975,-1.1854536305643097,-0.9957153685300949,-0.09491458426235963
2014-08,0.3354757256275719,-0.9797589942754653,0.8945204464329306,-1.1805866135057947,-1.4664488783342082,-0.8030160826140645
2014-09,0.3354757256275719,-0.9877299966834464,1.1788713168222067,-1.165979084742975,-1.2990769637371908,0.21487124332582613
2014-1,,-1.0249715653108944,,,,
2014-10,0.06290169855516974,,1.1788713168222067,-1.1513948325849774,-1.0270976025170355,0.3799137334929251
2014-11,0.06290169855516974,-1.0497992777291931,0.8234327288356116,-1.1443580373362492,-1.131705049140172,-0.227247994017763
2014-12,0.06290169855516974,-1.0509753272647968,0.6101695760436545,-1.1389876903918013,-0.10655207223343663,1.574598407452925
2015-01,0.06290169855516974,-0.9677371545781838,0.6101695760436545,-1.1339203664037127,-1.3409199423864444,-1.8415042166436932
2015-02,0.06290169855516974,-0.9750547961330506,0.7523450112382926,-1.1225957642904778,-1.8011927075282446,-0.8133533728224455
2015-03,-0.2096723285172324,-0.9738787465974469,1.1077835992248877,-1.1017602133186646,-0.7655789859591948,1.7160802939955508
2015-04,-0.2096723285172324,-0.9700892536493911,1.0366958816275686,-1.0761294682065807,-0.9538723898808399,-0.35155343292253793
2015-05,-0.2096723285172324,-0.9354611284343952,1.0366958816275686,-1.056575767692394,-1.1212443044778588,-0.32437282352610214
2015-06,-0.4822463555896345,-0.9329783571925646,0.8945204464329306,-1.0328878716690737,-0.7237360073099413,0.5718712368390513
2015-07,-0.4822463555896345,-0.9106334160160965,0.8234327288356116,-1.0107568744245847,-1.0375583471793501,-0.5425236244438512
2015-08,-0.4822463555896345,-0.8932540173232878,0.6101695760436545,-0.9884355357694067,-1.2572339850879357,-0.4093380663291786
2015-09,-0.4822463555896345,-0.9255300434670765,0.6812572936409735,-0.9587576510738712,-0.8806471772446456,0.547181517257242
2015-1,,-0.9255300434670765,,,,
2015-10,-0.4822463555896345,,0.8234327288356116,-0.9399742139871596,-0.6818930286606861,0.24712001433035644
2015-11,-0.4822463555896345,-0.9490510341791482,0.3969064232516975,-0.9155931449431612,-0.7655789859591948,-0.18964257316371505
2015-12,-0.4822463555896345,-0.9119401377223234,-0.3850584703188117,-0.9045598918927357,0.21773101229828523,1.4497764602120367
2016-01,-0.4822463555896345,-0.8907712460814572,-0.3850584703188117,-0.8997832763269563,-1.2049302617763675,-2.051872149769
2016-02,-0.4822463555896345,-0.8374570004674255,-0.3850584703188117,-0.8947223587438649,-1.5605955802950313,-0.6342641265337843
2016-03,-0.4822463555896345,-0.8697330266112142,-0.4561461879161307,-0.8920261876097293,-0.441295901427473,1.8090194593216324
2016-04,-0.4822463555896345,-0.8462120358991425,-0.17179531752685462,-0.8884048604117463,-0.8388041985953906,-0.6538471625466623
2016-05,-0.4822463555896345,-0.8387637221736526,-0.10070759992953561,-0.8800058499138179,-0.6714322839983731,0.1971951646983759
2016-06,-0.7548203826620367,-0.8412464934154813,0.25473098805705946,-0.8698776083426374,-0.26346324216814104,0.5592897545481582
2016-07,-0.7548203826620367,-0.8647674841275549,0.25473098805705946,-0.8552608970659888,-0.7446574966345673,-0.7661955215810997
